;0;1
10;10;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""impresso e auditável! só que confia no instituto lula é o pt e o psdb! 

""), 'frase_traduzida': TextBlob(""impresso e auditável! só que confia no instituto lula é o pt e o psdb! 

""), 'polaridade': 0.0, 'subjetividade': 0.0}"
11;11;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""não tenho uma camisa vermelha do pt/lula gente que espécie de petista da desgraça eu sou???""), 'frase_traduzida': TextBlob(""não tenho uma camisa vermelha do pt/lula gente que espécie de petista da desgraça eu sou???""), 'polaridade': 0.0, 'subjetividade': 0.0}"
12;12;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""@toniohvski @o_antagonista quem tenta comprar imprensa é o bozo, vide sikeira jr, entre outros, disse que ia acabar… ""), 'frase_traduzida': TextBlob(""@toniohvski @o_antagonista quem tenta comprar imprensa é o bozo, vide sikeira jr, entre outros, disse que ia acabar… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
13;13;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""eu tô falando, o lula tem foto pra absolutamente qualquer coisa ""), 'frase_traduzida': TextBlob(""eu tô falando, o lula tem foto pra absolutamente qualquer coisa ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
14;14;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""@estadao @estadaopolitica enquanto isso, três chefes de estado (portugal, angola e cabo verde estão visitando o br… ""), 'frase_traduzida': TextBlob(""@estadao @estadaopolitica enquanto isso, três chefes de estado (portugal, angola e cabo verde estão visitando o br… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
15;15;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""@flavio_raimundo @jdoriajr essa galera que você defende, como lula, já falou tanto mal do nordestino, das mulheres,… ""), 'frase_traduzida': TextBlob(""@flavio_raimundo @jdoriajr essa galera que você defende, como lula, já falou tanto mal do nordestino, das mulheres,… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
16;16;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""@leandrog1914 bom dia lêêê😘🥰🏋️⛹️🤾

bom dia vermelhindos, em ritmo de olimpíadas lula vence todos, atenção ao… ""), 'frase_traduzida': TextBlob(""@leandrog1914 bom dia lêêê😘🥰🏋️⛹️🤾

bom dia vermelhindos, em ritmo de olimpíadas lula vence todos, atenção ao… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
17;17;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""@fernandobarros cara, fala de esquerda, de progressismo, de social democracia, fale de ideologia, so nao associem i… ""), 'frase_traduzida': TextBlob(""@fernandobarros cara, fala de esquerda, de progressismo, de social democracia, fale de ideologia, so nao associem i… ""), 'polaridade': 0.03333333333333333, 'subjetividade': 0.06666666666666667}"
18;18;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""datena você não tem chance alguma de ganhar para presidente 
lula e bolsonaro já estão no 2° turnoseha esperto nào… ""), 'frase_traduzida': TextBlob(""datena você não tem chance alguma de ganhar para presidente 
lula e bolsonaro já estão no 2° turnoseha esperto nào… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
19;19;"{'criterio_de_pesquisa': 'lula', 'frase_original': TextBlob(""reinauguração do @museudalingua contou com presidentes de portugal e cabo verde e lula já o presidente do brasil… ""), 'frase_traduzida': TextBlob(""reinauguração do @museudalingua contou com presidentes de portugal e cabo verde e lula já o presidente do brasil… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
